#  Z	A	Bin	Bout
89	253	4.2	10.5
89	254	4.8	10.7
89	255	4.5	11.3
89	256	4.8	11.7
89	257	4.9	12.4
89	258	5.7	13
89	259	5.9	14
89	260	6.5	14.5
89	261	7.9	15.4
89	262	8.8	16.4
89	263	8.8	17.3
89	264	9.5	18
89	265	9.9	19.4
89	266	10.6	19
89	267	10.4	18.7
89	268	11.7	18.4
89	269	12.5	20.1
89	270	13.6	21.5
89	271	12.3	22.6
89	272	13.7	24.6
89	273	13.5	25.9
90	220	5.5	6
90	221	6.2	6.4
90	222	5.5	5.5
90	223	5.8	6.4
90	224	4.1	7.6
90	225	4.2	8
90	226	3.9	8.2
90	227	4.1	6.4
90	228	3.9	6.4
90	229	4	6.9
90	230	4	6.8
90	231	4.1	7.2
90	232	4.5	7.1
90	233	5.1	6.8
90	234	4.9	7.5
90	235	5.5	7.6
90	236	5.3	7.9
90	237	5.8	8.2
90	238	5.6	8
90	239	6	8.6
90	240	5.7	9.6
90	241	5.8	9.3
90	242	5.4	9.2
90	243	5.7	9
90	244	5.2	8.9
90	245	5.4	8.9
90	246	5	8.3
90	247	5.1	8.3
90	248	4.7	8.8
90	249	5.2	8.5
90	250	4.7	9.7
90	251	4.9	8.2
90	252	4.3	8.3
90	253	4.7	10.1
90	254	4.2	10.3
90	255	4.5	8.7
90	256	4.1	10.5
90	257	4.7	9.4
90	258	4.7	10
90	259	5.3	11.7
90	260	5.6	11.5
90	261	6.2	12.1
90	262	7.2	13.7
90	263	8.3	14
90	264	8.3	15
90	265	9.1	15.3
90	266	9.5	16.1
90	267	10.4	16.8
90	268	10.4	16.1
90	269	10.9	18.1
90	270	11.8	17.4
90	271	12.6	18.3
90	272	13.2	20.5
90	273	14.8	22
90	274	15.3	23.5
91	228	X	4.6
91	229	4.2	5.3
91	230	4.2	6
91	231	4.1	5.8
91	232	4.7	5.9
91	233	4.7	6
91	234	5.4	5.3
91	235	5.1	5.7
91	236	5.6	5.7
91	237	5.4	6.7
91	238	5.8	5
91	239	5.5	7.9
91	240	6.1	6.1
91	241	5.7	7.9
91	242	6.3	7.7
91	243	5.4	7.6
91	244	5.7	7.5
91	245	5.3	7.2
91	246	5.6	7
91	247	4.8	6.9
91	248	5.3	6.4
91	249	4.7	6.5
91	250	5	6.5
91	251	4.3	6.2
91	252	4.4	7.5
91	253	4.3	7.5
91	254	4.3	7.4
91	255	3.8	6.3
91	256	4.4	8.5
91	257	3.9	8.2
91	258	4.2	8.4
91	259	4.1	8.8
91	260	4.6	9.2
91	261	4.5	7.9
91	262	5.5	8.8
91	263	6.5	10.3
91	264	7.5	11
91	265	7.7	12.1
91	266	8.2	12.3
91	267	8.4	13
91	268	9.2	14
91	269	9	14.3
91	270	10.1	15.5
91	271	10.6	14.8
91	272	11.5	15.5
91	273	12	16.9
91	274	13.1	19.1
91	275	14	20.5
91	276	13.5	19.8
91	277	12.6	18.7
92	230	3.8	3.9
92	231	4.1	4.3
92	232	4.2	4.2
92	233	4.7	4.4
92	234	4.8	4.4
92	235	5.4	4.1
92	236	5.2	4
92	237	5.7	4.3
92	238	5.7	4.9
92	239	6.1	5.5
92	240	6	6.3
92	241	6.3	5.7
92	242	5.9	6
92	243	6.4	5.4
92	244	5.9	5.4
92	245	5.9	5.6
92	246	5.6	5.4
92	247	5.8	5.7
92	248	5.3	5.4
92	249	5.5	5.6
92	250	4.9	5.4
92	251	5.2	5.7
92	252	4.7	5.4
92	253	5	5.5
92	254	4.3	6.2
92	255	4.2	5.9
92	256	4	6.1
92	257	4.2	6.8
92	258	4	6.3
92	259	4.2	6.3
92	260	4.2	6.7
92	261	4.6	7.2
92	262	3.9	5.3
92	263	4.6	6
92	264	6.1	7.6
92	265	7	9.5
92	266	7.2	9.9
92	267	8.2	10.6
92	268	7.9	10.5
92	269	9	11.2
92	270	8.8	11.8
92	271	10.2	12.5
92	272	9.9	13
92	273	11.1	13.8
92	274	11.4	14.9
92	275	12.2	15.8
92	276	12.9	17.7
92	277	12.8	17.7
92	278	11.8	16.6
92	279	11.6	16.2
92	280	10.9	15.2
93	231	4	3.1
93	232	4.4	3.3
93	233	4.3	3.3
93	234	5	3.6
93	235	4.9	3.6
93	236	5.7	3.9
93	237	5.4	3.8
93	238	6	3.8
93	239	5.9	3.9
93	240	6.3	4
93	241	6.1	4.2
93	242	6.4	4.5
93	243	6.1	4.6
93	244	6.5	4.8
93	245	6.1	4.7
93	246	6.2	5
93	247	5.8	4.8
93	248	5.4	5
93	249	5.2	4.7
93	250	5.3	4.7
93	251	4.8	4.4
93	252	5.2	4.6
93	253	4.5	4.4
93	254	4.8	4.6
93	255	4.3	4.2
93	256	4.4	4.2
93	257	3.9	4.4
93	258	4.1	4.4
93	259	3.7	4.6
93	260	3.8	4.6
93	261	3.8	3.2
93	262	3.9	3.5
93	263	3.9	3.1
93	264	4.2	3.4
93	265	4.2	3.9
93	266	6	5.9
93	267	6.3	7.2
93	268	7.3	7.7
93	269	7.1	7.9
93	270	7.8	8.9
93	271	7.7	9
93	272	8.8	10.3
93	273	7.9	10.9
93	274	9.8	12
93	275	10.2	12.4
93	276	11.2	12.7
93	277	10.7	13.8
93	278	10.4	14.8
93	279	9.6	14
93	280	9.9	12.7
93	281	9.1	12.8
93	282	9.3	10.9
93	283	8.7	11.8
93	284	9.3	9.8
93	285	8.7	8.9
93	286	8.9	8.8
93	287	8.4	9.1
93	288	8.9	9.4
93	289	8.6	9.4
93	290	9.4	9.9
