#  Z	A	Bin	Bout
100	300	4	X
100	301	4.7	X
100	302	4.7	X
100	303	5.1	X
100	304	5.3	X
100	305	5.4	X
100	306	5.9	X
100	307	5.8	X
100	308	6	X
100	309	6.4	X
100	310	7.3	X
100	311	6.3	X
100	312	6.4	X
100	313	8.3	X
100	314	8.4	X
101	244	5.4	X
101	245	5.3	X
101	246	6	X
101	247	5.9	X
101	248	6.4	X
101	249	6.5	X
101	250	6.6	X
101	251	6.4	X
101	252	6.8	X
101	253	6.4	X
101	254	6.5	X
101	255	6	X
101	256	6.2	X
101	257	5.7	X
101	258	6.1	X
101	259	5.3	X
101	260	5.3	X
101	261	5	X
101	262	4.8	X
101	263	4.5	X
101	264	4.3	X
101	265	4	X
101	266	3.6	X
101	267	3.2	X
101	268	3.1	X
101	269	2.6	X
101	270	2.2	X
101	271	1.9	X
101	272	1.7	X
101	273	1.4	X
101	274	1.8	X
101	275	1.3	X
101	276	2.4	X
101	277	1.9	X
101	278	3.2	X
101	279	3	X
101	280	3.9	X
101	281	3.4	X
101	282	4.7	X
101	283	4.5	X
101	284	5.7	X
101	285	5.3	X
101	286	5.3	X
101	287	4.2	X
101	288	3.4	X
101	289	2.7	X
101	290	3	X
101	291	2.2	X
101	292	2.4	X
101	293	1.6	X
101	294	1.2	X
101	295	1.7	X
101	296	1.9	X
101	297	2.8	X
101	298	3.1	X
101	299	3.6	X
101	300	4.2	X
101	301	4.3	X
101	302	4.7	X
101	303	5	X
101	304	5.3	X
101	305	5.7	X
101	306	5.6	X
101	307	6.4	X
101	308	6.1	X
101	309	7	X
101	310	7.5	X
101	311	7.3	X
101	312	6.6	X
101	313	6.5	X
101	314	8.5	X
101	315	7.8	X
101	316	8.2	X
102	246	4.9	X
102	247	5.6	X
102	248	5.4	X
102	249	6	X
102	250	5.8	X
102	251	6	X
102	252	5.8	X
102	253	6.2	X
102	254	5.7	X
102	255	5.8	X
102	256	5.6	X
102	257	5.8	X
102	258	5.3	X
102	259	5.5	X
102	260	5	X
102	261	5.1	X
102	262	4.8	X
102	263	4.6	X
102	264	4.3	X
102	265	4	X
102	266	3.7	X
102	267	3.6	X
102	268	3	X
102	269	2.5	X
102	270	2.5	X
102	271	2.3	X
102	272	1.7	X
102	273	1.7	X
102	274	1.3	X
102	275	1.7	X
102	276	1.3	X
102	277	1.7	X
102	278	1.7	X
102	279	3	X
102	280	2.8	X
102	281	4.6	X
102	282	3.8	X
102	283	4.8	X
102	284	4.9	X
102	285	6	X
102	286	5.6	X
102	287	5.5	X
102	288	4.1	X
102	289	4.2	X
102	290	2.4	X
102	291	2.5	X
102	292	1.7	X
102	293	2.2	X
102	294	1.2	X
102	295	0.9	X
102	296	1.1	X
102	297	2.2	X
102	298	2.6	X
102	299	2.8	X
102	300	3.3	X
102	301	3.8	X
102	302	3.9	X
102	303	4.4	X
102	304	4.6	X
102	305	5	X
102	306	5.4	X
102	307	5.7	X
102	308	6	X
102	309	5.7	X
102	310	6.5	X
102	311	7	X
102	312	7.1	X
102	313	6.2	X
102	314	7.3	X
102	315	7.8	X
102	316	7.6	X
102	317	8	X
102	318	7.7	X
103	248	5.8	X
103	249	5.4	X
103	250	5.7	X
103	251	5.8	X
103	252	6	X
103	253	5.9	X
103	254	6.3	X
103	255	5.9	X
103	256	6.1	X
103	257	5.8	X
103	258	6.1	X
103	259	5.6	X
103	260	5.7	X
103	261	5.2	X
103	262	5.4	X
103	263	4.9	X
103	264	4.9	X
103	265	4.4	X
103	266	4	X
103	267	3.7	X
103	268	3.7	X
103	269	3.1	X
103	270	2.9	X
103	271	2.4	X
103	272	2.2	X
103	273	1.6	X
103	274	1.4	X
103	275	1.1	X
103	276	1.2	X
103	277	0.9	X
103	278	1.3	X
103	279	1.2	X
103	280	2.4	X
103	281	2.5	X
103	282	3.7	X
103	283	3.3	X
103	284	4.2	X
103	285	4.1	X
103	286	5.3	X
103	287	4.9	X
103	288	4.8	X
103	289	4.2	X
103	290	4	X
103	291	1.7	X
103	292	2.1	X
103	293	1.2	X
103	294	1.3	X
103	295	0.3	X
103	296	0.3	X
103	297	1.9	X
103	298	2.2	X
103	299	2.6	X
103	300	2.9	X
103	301	3.3	X
103	302	3.8	X
103	303	4	X
103	304	4.4	X
103	305	4.7	X
103	306	4.9	X
103	307	5.3	X
103	308	5.8	X
103	309	6.1	X
103	310	6.6	X
103	311	6.7	X
103	312	7	X
103	313	7.1	X
103	314	7.6	X
103	315	7.5	X
103	316	7.9	X
103	317	7.7	X
103	318	8.1	X
104	250	4.5	X
104	251	4.9	X
104	252	4.9	X
104	253	5.1	X
104	254	5.3	X
104	255	5.6	X
104	256	5.3	X
104	257	5.6	X
104	258	5.2	X
104	259	5.3	X
104	260	5	X
104	261	5	X
104	262	4.7	X
104	263	4.6	X
104	264	4.4	X
104	265	4.4	X
104	266	4	X
104	267	3.6	X
104	268	3.3	X
104	269	3	X
104	270	2.5	X
104	271	2.6	X
104	272	1.9	X
104	273	2	X
104	274	1.3	X
104	275	1.5	X
104	276	0.8	X
104	277	1.3	X
104	278	1	X
104	279	1.5	X
104	280	1.6	X
104	281	2.7	X
104	282	2.7	X
104	283	3.9	X
104	284	3.7	X
104	285	5	X
104	286	4.7	X
104	287	5.8	X
104	288	5.6	X
104	289	4.8	X
104	290	4	X
104	291	3.9	X
104	292	2.9	X
104	293	2.9	X
104	294	1.9	X
104	295	1.9	X
104	296	0.4	X
104	297	1	X
104	298	1.5	X
104	299	1.9	X
104	300	2.1	X
104	301	2.3	X
104	302	2.9	X
104	303	3.3	X
104	304	3.4	X
104	305	4.1	X
104	306	4.3	X
104	307	4.5	X
104	308	5	X
104	309	5.4	X
104	310	5.6	X
104	311	6.1	X
104	312	6.2	X
104	313	6.6	X
104	314	6.6	X
104	315	7	X
104	316	7	X
104	317	7.5	X
104	318	7.3	X
105	252	4.7	X
105	253	4.7	X
105	254	5	X
105	255	5.2	X
105	256	5.7	X
105	257	5.5	X
105	258	5.6	X
105	259	5.2	X
105	260	5.3	X
105	261	5.1	X
105	262	5.2	X
105	263	4.9	X
105	264	4.9	X
105	265	4.6	X
105	266	4.5	X
105	267	4.2	X
105	268	4.1	X
105	269	3.7	X
105	270	3.1	X
105	271	2.8	X
105	272	2.8	X
105	273	1.8	X
105	274	2	X
105	275	1.4	X
105	276	1.2	X
105	277	1.9	X
105	278	1.9	X
105	279	1.5	X
105	280	1.9	X
105	281	1.5	X
105	282	2	X
105	283	2.1	X
105	284	3	X
105	285	3.3	X
105	286	4.5	X
105	287	4.2	X
105	288	5.3	X
105	289	4.6	X
105	290	4.7	X
105	291	3.7	X
105	292	3.8	X
105	293	2.7	X
105	294	2.9	X
105	295	1.8	X
105	296	1.7	X
105	297	0.7	X
105	298	1	X
105	299	1.5	X
105	300	1.8	X
105	301	1.9	X
105	302	2.1	X
105	303	2.7	X
105	304	2.9	X
105	305	3.3	X
105	306	3.9	X
105	307	4	X
105	308	4.4	X
105	309	5.1	X
105	310	5.6	X
105	311	5.6	X
105	312	6	X
105	313	6	X
105	314	6.5	X
105	315	6.5	X
105	316	6.9	X
105	317	6.9	X
105	318	7.2	X
106	254	4	X
106	255	4.3	X
106	256	4.4	X
106	257	4.9	X
106	258	4.7	X
106	259	4.9	X
106	260	4.6	X
106	261	4.7	X
106	262	4.3	X
106	263	4.4	X
106	264	4.2	X
106	265	4.3	X
106	266	3.9	X
106	267	3.8	X
106	268	3.7	X
106	269	3.8	X
106	270	3.3	X
106	271	3	X
106	272	2.3	X
106	273	2.5	X
106	274	1.4	X
106	275	1.7	X
106	276	1	X
106	277	1.2	X
106	278	0.7	X
106	279	1.4	X
106	280	1.2	X
106	281	1.8	X
106	282	1.6	X
106	283	2.7	X
106	284	2.5	X
106	285	3.5	X
106	286	3.7	X
106	287	5.1	X
106	288	4.8	X
106	289	5.7	X
106	290	5.1	X
106	291	4.8	X
106	292	3.8	X
106	293	4.2	X
106	294	3.4	X
106	295	2.9	X
106	296	2	X
106	297	1.9	X
106	298	0.8	X
106	299	0.5	X
106	300	1	X
106	301	1.3	X
106	302	1.5	X
106	303	2.1	X
106	304	2.3	X
106	305	2.6	X
106	306	2.9	X
106	307	3.4	X
106	308	3.7	X
106	309	4.2	X
106	310	4.6	X
106	311	4.8	X
106	312	5	X
106	313	5.5	X
106	314	5.5	X
106	315	6	X
106	316	6	X
106	317	6.3	X
106	318	6.2	X
107	256	4.2	X
107	257	4.4	X
107	258	4.7	X
107	259	4.6	X
107	260	4.8	X
107	261	4.6	X
107	262	4.8	X
107	263	4.5	X
107	264	4.5	X
107	265	4.4	X
107	266	4.6	X
107	267	4.5	X
107	268	4.3	X
107	269	3.9	X
107	270	4	X
107	271	3.7	X
107	272	3.7	X
107	273	2.4	X
107	274	2.7	X
107	275	1.9	X
107	276	2.1	X
107	277	1.3	X
107	278	1.4	X
107	279	1.1	X
107	280	1.5	X
107	281	1.4	X
107	282	1.8	X
107	283	1.6	X
107	284	2.3	X
107	285	2.2	X
107	286	3	X
107	287	3.1	X
107	288	4.3	X
107	289	4	X
107	290	5.2	X
107	291	4.6	X
107	292	4.6	X
107	293	3.5	X
107	294	4	X
107	295	2.7	X
107	296	2.8	X
107	297	2	X
107	298	1.6	X
107	299	0.7	X
107	300	0.2	X
107	301	0.9	X
107	302	1.3	X
107	303	1.6	X
107	304	1.8	X
107	305	2.2	X
107	306	2.6	X
107	307	2.8	X
107	308	3.3	X
107	309	3.5	X
107	310	4.1	X
107	311	4.3	X
107	312	4.8	X
107	313	4.8	X
107	314	5.3	X
107	315	5.3	X
107	316	5.6	X
107	317	5.8	X
107	318	6.2	X
108	258	3.3	X
108	259	3.6	X
108	260	3.5	X
108	261	3.8	X
108	262	3.6	X
108	263	3.9	X
108	264	3.7	X
108	265	3.9	X
108	266	3.5	X
108	267	3.5	X
108	268	3.4	X
108	269	3.5	X
108	270	3.4	X
108	271	3.6	X
108	272	2.6	X
108	273	2.9	X
108	274	2.5	X
108	275	2.1	X
108	276	1.9	X
108	277	1.6	X
108	278	1.3	X
108	279	1.4	X
108	280	1.2	X
108	281	1.6	X
108	282	1.3	X
108	283	2.1	X
108	284	1.9	X
108	285	2.7	X
108	286	2.5	X
108	287	4	X
108	288	3.8	X
108	289	5	X
108	290	4.9	X
108	291	6.2	X
108	292	5.6	X
108	293	5.3	X
108	294	4.2	X
108	295	4.4	X
108	296	3.1	X
108	297	3.2	X
108	298	2.2	X
108	299	1.9	X
108	300	0.9	X
108	301	0.3	X
108	302	0.1	X
108	303	0.9	X
108	304	1.2	X
108	305	1.2	X
108	306	1.6	X
108	307	1.9	X
108	308	2.3	X
108	309	2.7	X
108	310	2.9	X
108	311	3.4	X
108	312	3.5	X
108	313	3.9	X
108	314	4.1	X
108	315	4.3	X
108	316	4.4	X
108	317	4.8	X
108	318	5	X
109	260	2.8	X
109	261	2.8	X
109	262	3.1	X
109	263	2.9	X
109	264	3.1	X
109	265	2.4	X
109	266	3.4	X
109	267	2.8	X
109	268	3.1	X
109	269	3.2	X
109	270	3.4	X
109	271	3.3	X
109	272	3	X
109	273	2.7	X
109	274	3.1	X
109	275	2.6	X
109	276	2.3	X
109	277	2.1	X
109	278	1.8	X
109	279	1.6	X
109	280	1.7	X
109	281	1.4	X
109	282	1.8	X
109	283	1.6	X
109	284	2.1	X
109	285	1.7	X
109	286	2.7	X
109	287	2.6	X
109	288	4.4	X
109	289	4.2	X
109	290	5	X
109	291	4.9	X
109	292	5.8	X
109	293	5.5	X
109	294	5.3	X
109	295	4.4	X
109	296	4.4	X
109	297	3.3	X
109	298	3.4	X
109	299	2.2	X
109	300	2	X
109	301	1.2	X
109	302	0.5	X
109	303	X	X
109	304	X	X
109	305	0.7	X
109	306	0.8	X
109	307	1.4	X
109	308	1.8	X
109	309	2	X
109	310	2.5	X
109	311	2.2	X
109	312	3	X
109	313	3.1	X
109	314	3.6	X
109	315	3.6	X
109	316	4	X
109	317	4.1	X
109	318	4.3	X
110	262	1.6	X
110	263	2	X
110	264	1.6	X
110	265	1.9	X
110	266	1.9	X
110	267	2.2	X
110	268	2.1	X
110	269	2.3	X
110	270	1.8	X
110	271	2.2	X
110	272	2.2	X
110	273	2.8	X
110	274	1.8	X
110	275	2.3	X
110	276	2.1	X
110	277	2	X
110	278	1.7	X
110	279	2	X
110	280	1.6	X
110	281	1.8	X
110	282	1.5	X
110	283	2.3	X
110	284	1.7	X
110	285	2.6	X
110	286	3.1	X
110	287	4.2	X
110	288	4.1	X
110	289	5.1	X
110	290	5	X
110	291	6	X
110	292	5.6	X
110	293	6.6	X
110	294	6	X
110	295	5.9	X
110	296	5.3	X
110	297	4.4	X
110	298	3.7	X
110	299	3.2	X
110	300	2.3	X
110	301	2.1	X
110	302	1.1	X
110	303	0.8	X
110	304	0.2	X
110	305	0.1	X
110	306	X	X
110	307	0.5	X
110	308	0.9	X
110	309	1.2	X
110	310	1.4	X
110	311	1.8	X
110	312	1.8	X
110	313	2.5	X
110	314	2.5	X
110	315	3.1	X
110	316	3	X
110	317	3.3	X
110	318	3.5	X
111	264	1.2	X
111	265	1	X
111	266	1.3	X
111	267	0.7	X
111	268	0.9	X
111	269	1.2	X
111	270	1.7	X
111	271	2.2	X
111	272	1.5	X
111	273	1.7	X
111	274	2.3	X
111	275	2	X
111	276	2.4	X
111	277	1.6	X
111	278	2.1	X
111	279	2	X
111	280	1.9	X
111	281	1.7	X
111	282	2.1	X
111	283	1.8	X
111	284	2.4	X
111	285	2.4	X
111	286	4.1	X
111	287	3.8	X
111	288	4.9	X
111	289	4.8	X
111	290	5.6	X
111	291	5.5	X
111	292	6.5	X
111	293	6.2	X
111	294	6.9	X
111	295	6.4	X
111	296	5.7	X
111	297	5	X
111	298	4.4	X
111	299	3.8	X
111	300	3.4	X
111	301	2.6	X
111	302	2.2	X
111	303	1.5	X
111	304	0.9	X
111	305	0.4	X
111	306	X	X
111	307	X	X
111	308	0.4	X
111	309	0.4	X
111	310	0.7	X
111	311	1	X
111	312	1.3	X
111	313	1.3	X
111	314	2	X
111	315	2	X
111	316	2.5	X
111	317	2.5	X
111	318	2.9	X
112	266	0.5	X
112	267	0.9	X
112	268	X	X
112	269	0.2	X
112	270	0.8	X
112	271	1.1	X
112	272	1.3	X
112	273	1.6	X
112	274	2	X
112	275	2.3	X
112	276	1.6	X
112	277	2	X
112	278	1.9	X
112	279	1.8	X
112	280	1.6	X
112	281	1.9	X
112	282	1.8	X
112	283	2.2	X
112	284	2.2	X
112	285	2.7	X
112	286	3.6	X
112	287	4.3	X
112	288	4.8	X
112	289	5.6	X
112	290	5.8	X
112	291	6.5	X
112	292	6.4	X
112	293	7.1	X
112	294	6.9	X
112	295	6.9	X
112	296	6.5	X
112	297	6.3	X
112	298	5.7	X
112	299	5.2	X
112	300	4.5	X
112	301	3.8	X
112	302	3.1	X
112	303	2.5	X
112	304	1.9	X
112	305	1.2	X
112	306	0.7	X
112	307	X	X
112	308	X	X
112	309	X	X
112	310	X	X
112	311	0.1	X
112	312	0.4	X
112	313	0.8	X
112	314	0.9	X
112	315	1.4	X
112	316	1.5	X
112	317	2	X
112	318	1.9	X
113	268	X	X
113	269	0.4	X
113	270	0.7	X
113	271	1.2	X
113	272	1.6	X
113	273	1.9	X
113	274	1.9	X
113	275	2.1	X
113	276	2.6	X
113	277	1.8	X
113	278	2.5	X
113	279	2.4	X
113	280	2.3	X
113	281	2.2	X
113	282	2.4	X
113	283	2.5	X
113	284	3.2	X
113	285	2.8	X
113	286	3.2	X
113	287	4.4	X
113	288	5	X
113	289	5.7	X
113	290	6.3	X
113	291	6.3	X
113	292	7.2	X
113	293	7.3	X
113	294	7.4	X
113	295	7.1	X
113	296	7.4	X
113	297	6.7	X
113	298	6.3	X
113	299	5.9	X
113	300	5.5	X
113	301	4.7	X
113	302	4.2	X
113	303	3.4	X
113	304	2.7	X
113	305	2.1	X
113	306	1.6	X
113	307	0.9	X
113	308	0.6	X
113	309	0.4	X
113	310	0.1	X
113	311	0.1	X
113	312	X	X
113	313	X	X
113	314	0.5	X
113	315	X	X
113	316	1.1	X
113	317	1	X
113	318	1.4	X
114	270	0.3	X
114	271	0.6	X
114	272	1.1	X
114	273	1.4	X
114	274	1.7	X
114	275	2.1	X
114	276	2.2	X
114	277	2	X
114	278	1.8	X
114	279	2.3	X
114	280	1.9	X
114	281	2.2	X
114	282	2.2	X
114	283	2.4	X
114	284	2.4	X
114	285	2.7	X
114	286	4.1	X
114	287	4.8	X
114	288	6.1	X
114	289	6.7	X
114	290	6.6	X
114	291	7.3	X
114	292	7.2	X
114	293	7.6	X
114	294	7.5	X
114	295	8.2	X
114	296	7.8	X
114	297	8.1	X
114	298	7.5	X
114	299	7.2	X
114	300	6.5	X
114	301	6.1	X
114	302	5.3	X
114	303	4.4	X
114	304	3.9	X
114	305	3.5	X
114	306	3	X
114	307	2.5	X
114	308	1.8	X
114	309	1.1	X
114	310	0.8	X
114	311	0.4	X
114	312	0.4	X
114	313	0.2	X
114	314	0.1	X
114	315	0.1	X
114	316	0.1	X
114	317	0.2	X
114	318	X	X
115	272	0.9	X
115	273	1.4	X
115	274	1.8	X
115	275	2	X
115	276	2	X
115	277	2.2	X
115	278	2.9	X
115	279	2.2	X
115	280	2.7	X
115	281	2.2	X
115	282	2.6	X
115	284	2.6	X
115	285	2.6	X
115	286	3.6	X
115	287	6	X
115	288	6.9	X
115	289	7.2	X
115	290	7.7	X
115	291	7.8	X
115	292	7.3	X
115	293	7.4	X
115	294	8.1	X
115	295	7.9	X
115	296	8.5	X
115	297	8.4	X
115	298	8.7	X
115	299	8.2	X
115	300	7.7	X
115	301	7.3	X
115	302	7	X
115	303	6	X
115	304	5.7	X
115	305	4.9	X
115	306	4.4	X
115	308	3	X
115	309	2.6	X
115	310	1.9	X
115	311	1.4	X
115	312	1.2	X
115	313	0.7	X
115	314	0.2	X
115	315	0.2	X
115	316	X	X
115	317	X	X
115	318	X	X
116	274	1	X
116	275	1.1	X
116	276	1.5	X
116	277	1.8	X
116	278	1.8	X
116	279	2	X
116	280	1.9	X
116	281	2.3	X
116	282	1.9	X
116	286	3.9	X
116	287	4.9	X
116	288	6	X
116	289	6.8	X
116	290	6.9	X
116	291	7.5	X
116	292	6.5	X
116	293	7	X
116	294	7.2	X
116	295	7.7	X
116	296	7.6	X
116	297	8.2	X
116	298	7.8	X
116	299	8.3	X
116	300	7.7	X
116	301	7.4	X
116	302	6.9	X
116	303	6.1	X
116	304	5.8	X
116	305	5.1	X
116	306	4.5	X
116	310	2.6	X
116	311	1.8	X
116	312	1.8	X
116	313	1.1	X
116	314	0.9	X
116	315	0.3	X
116	316	0.4	X
116	317	X	X
116	318	0.2	X
117	276	1.1	X
117	277	1.4	X
117	278	1.6	X
117	279	1.8	X
117	280	2.1	X
117	281	2	X
117	282	2.5	X
117	288	5.4	X
117	289	6.6	X
117	290	6.5	X
117	291	6.3	X
117	292	6.6	X
117	293	6.8	X
117	294	7.4	X
117	295	7.3	X
117	296	8	X
117	297	7.8	X
117	298	8.4	X
117	299	8.1	X
117	300	8.5	X
117	301	7.9	X
117	302	7.9	X
117	303	7.1	X
117	304	6.5	X
117	305	6.3	X
117	306	5.7	X
117	312	2.1	X
117	313	1.8	X
117	314	1.4	X
117	315	1.4	X
117	316	0.8	X
117	317	0.5	X
117	318	0.3	X
118	278	0.8	X
118	279	1.1	X
118	280	1.4	X
118	281	1.7	X
118	282	1.7	X
118	290	6	X
118	291	7.1	X
118	292	6.8	X
118	293	7.4	X
118	294	6.6	X
118	295	7.1	X
118	296	7	X
118	297	7.6	X
118	298	7.4	X
118	299	7.9	X
118	300	7.7	X
118	301	7.7	X
118	302	7.4	X
118	303	7.1	X
118	304	6.5	X
118	305	5.9	X
118	306	5.6	X
118	314	1.4	X
118	315	0.8	X
118	316	0.5	X
118	317	0.5	X
118	318	0.4	X
119	280	1.1	X
119	281	2	X
119	282	1.7	X
119	292	7.1	X
119	293	7.2	X
119	294	6.8	X
119	295	6.7	X
119	296	7.2	X
119	297	7	X
119	298	7.5	X
119	299	7.4	X
119	300	8	X
119	301	7.7	X
119	302	7.8	X
119	303	7.4	X
119	304	7.3	X
119	305	6.6	X
119	306	6	X
119	316	0.8	X
119	317	0.6	X
119	318	0.4	X
120	282	0.6	X
120	294	5.7	X
120	295	6.1	X
120	296	6.2	X
120	297	6.7	X
120	298	6.6	X
120	299	7.1	X
120	300	6.8	X
120	301	7.2	X
120	302	7.2	X
120	303	7.2	X
120	304	6.8	X
120	305	6.2	X
120	306	5.8	X
120	318	X	X
